name,stars,score,time,area
借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",8.8,2010-07-17,日本
恐怖直播,"河正宇,李璟荣,李大为",8.8,2013-07-31,韩国
海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",8.9,2009-07-31,美国
忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",9.0,1987-08-01,日本
上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",8.9,2002-08-30,巴西
辩护人,"宋康昊,郭度沅,吴达洙",8.8,2013-12-18,韩国
七武士,"三船敏郎,志村乔,千秋实",9.1,1954-04-26,日本
美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",9.1,2015-04-23,Unknow
英雄本色,"狄龙,张国荣,周润发",9.2,2017-11-17,Unknow
完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",8.9,1993-11-24,美国
一一,"吴念真,金燕玲,李凯莉",8.9,2000-09-20,法国
爱·回家,"俞承豪,金艺芬,童孝熙",9.0,2002-04-05,韩国
海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",9.0,2011-08-12,Unknow
黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",8.9,1966-12-23,意大利
我爱你,"宋在浩,李顺才,尹秀晶",9.0,2011-02-17,韩国
迁徙的鸟,"雅克·贝汉,Philippe Labro",9.1,2001-12-12,法国
阿飞正传,"张国荣,张曼玉,刘德华",8.8,2018-06-25,Unknow
龙猫,"秦岚,糸井重里,岛本须美",9.2,2018-12-14,Unknow
